Model,Train_Accuracy,Validation_Accuracy,Test_Accuracy,CV_Score,CV_Std,Overfitting
XGBoost,0.9809058772666005,0.9817349972406673,0.9818777370313668,0.9812364894076955,0.0007840887331468912,0.000829119974066761
Decision Tree,0.9339335215279367,0.9349331529382443,0.9317477836721615,0.9480481167823809,0.007894049820291215,0.0009996314103075665
AdaBoost,0.8741791917804735,0.8747084898438752,0.8745327019617617,0.8741791917804737,0.0003182927768299272,0.0005292980634016287
Linear Regression,0.7737697413595789,0.7767788795328716,0.7749136611243636,0.1832082570400188,0.001134086576504422,0.003009138173292736
